0.950 0.925 0.926 0.944 0.896
0.851 0.920 0.935 0.816 0.930
0.920 0.918 0.934 0.875 0.884
0.943 0.919 0.907 0.932 0.836
0.953 0.913 0.928 0.943 0.926
0.846 0.904 0.936 0.923 0.928
0.935 0.883 0.919 0.918 0.926
0.861 0.928 0.930 0.817 0.919
0.811 0.922 0.815 0.900 0.929
0.880 0.921 0.942 0.919 0.881
0.913 0.930 0.936 0.925 0.904
0.927 0.935 0.930 0.840 0.933
0.877 0.937 0.929 0.881 0.919
0.903 0.912 0.930 0.929 0.833
0.924 0.919 0.836 0.951 0.935
0.922 0.901 0.944 0.880 0.863
0.794 0.940 0.917 0.893 0.844
0.935 0.939 0.933 0.932 0.856
0.921 0.855 0.945 0.929 0.911
0.873 0.914 0.855 0.911 0.895
0.858 0.893 0.889 0.865 0.921
0.956 0.897 0.870 0.970 0.891
0.894 0.900 0.871 0.932 0.927
0.859 0.883 0.907 0.876 0.965
0.844 0.898 0.878 0.865 0.881
0.955 0.910 0.872 0.880 0.882
0.863 0.928 0.893 0.886 0.883
0.948 0.885 0.876 0.970 0.894
0.965 0.888 0.969 0.913 0.880
0.932 0.885 0.869 0.891 0.931
0.901 0.883 0.864 0.879 0.910
0.882 0.873 0.884 0.960 0.880
0.939 0.865 0.882 0.932 0.891
0.911 0.901 0.883 0.883 0.965
0.885 0.900 0.957 0.848 0.875
0.889 0.910 0.865 0.928 0.946
0.972 0.874 0.901 0.922 0.959
0.869 0.869 0.878 0.873 0.945
0.885 0.953 0.853 0.880 0.896
0.935 0.898 0.935 0.908 0.918
