0.953 0.955 0.962 0.953 0.946
0.947 0.959 0.953 0.960 0.940
0.961 0.945 0.960 0.951 0.937
0.950 0.960 0.953 0.951 0.951
0.944 0.960 0.965 0.943 0.945
0.946 0.940 0.961 0.961 0.944
0.961 0.939 0.961 0.953 0.945
0.964 0.940 0.964 0.956 0.964
0.953 0.955 0.946 0.961 0.949
0.954 0.939 0.949 0.967 0.953
0.943 0.952 0.944 0.952 0.967
0.948 0.956 0.959 0.968 0.949
0.956 0.962 0.943 0.965 0.957
0.960 0.959 0.945 0.958 0.938
0.960 0.946 0.960 0.963 0.957
0.964 0.954 0.964 0.959 0.960
0.954 0.963 0.950 0.955 0.956
0.967 0.954 0.937 0.968 0.947
0.946 0.958 0.962 0.954 0.953
0.965 0.932 0.950 0.966 0.942
0.755 0.753 0.766 0.754 0.750
0.746 0.766 0.757 0.764 0.741
0.769 0.753 0.765 0.756 0.739
0.752 0.764 0.753 0.752 0.762
0.747 0.768 0.769 0.743 0.756
0.745 0.739 0.770 0.760 0.749
0.760 0.740 0.770 0.755 0.747
0.766 0.735 0.773 0.769 0.770
0.755 0.757 0.746 0.769 0.752
0.764 0.738 0.748 0.792 0.756
0.745 0.751 0.741 0.762 0.773
0.754 0.759 0.765 0.779 0.755
0.768 0.763 0.741 0.772 0.755
0.762 0.761 0.753 0.768 0.748
0.772 0.756 0.766 0.778 0.763
0.771 0.771 0.773 0.777 0.781
0.760 0.768 0.754 0.768 0.766
0.790 0.767 0.757 0.776 0.753
0.774 0.783 0.785 0.767 0.770
0.764 0.728 0.778 0.797 0.771
