0.750 0.758 0.761 0.766 0.871
0.875 0.756 0.856 0.880 0.866
0.804 0.884 0.824 0.872 0.865
0.883 0.871 0.875 0.898 0.824
0.885 0.873 0.872 0.828 0.912
0.767 0.889 0.861 0.830 0.888
0.854 0.890 0.888 0.900 0.886
0.875 0.771 0.797 0.900 0.910
0.888 0.797 0.888 0.885 0.818
0.840 0.900 0.895 0.889 0.890
0.853 0.894 0.783 0.911 0.905
0.906 0.813 0.906 0.829 0.763
0.852 0.795 0.842 0.784 0.845
0.800 0.798 0.894 0.871 0.816
0.892 0.851 0.807 0.774 0.898
0.803 0.907 0.910 0.884 0.894
0.897 0.851 0.893 0.883 0.904
0.895 0.888 0.877 0.893 0.864
0.876 0.876 0.894 0.895 0.895
0.870 0.811 0.852 0.727 0.532
0.917 0.914 0.910 0.905 0.707
0.722 0.915 0.677 0.758 0.783
0.871 0.763 0.840 0.784 0.799
0.792 0.751 0.793 0.772 0.849
0.766 0.791 0.774 0.843 0.738
0.907 0.761 0.805 0.835 0.787
0.814 0.782 0.782 0.732 0.739
0.803 0.907 0.879 0.756 0.747
0.743 0.885 0.696 0.695 0.860
0.823 0.737 0.754 0.770 0.785
0.816 0.744 0.896 0.748 0.743
0.740 0.860 0.759 0.839 0.907
0.816 0.884 0.824 0.890 0.810
0.875 0.854 0.775 0.800 0.840
0.780 0.818 0.865 0.896 0.723
0.825 0.720 0.751 0.774 0.761
0.729 0.800 0.773 0.757 0.761
0.757 0.764 0.769 0.737 0.801
0.705 0.776 0.718 0.754 0.745
0.794 0.835 0.726 0.735 0.525
