0.898 0.870 0.803 0.790 0.799
0.778 0.897 0.802 0.793 0.816
0.809 0.849 0.780 0.855 0.905
0.894 0.875 0.861 0.871 0.899
0.806 0.794 0.901 0.805 0.805
0.809 0.896 0.790 0.909 0.823
0.800 0.904 0.887 0.801 0.903
0.813 0.905 0.906 0.811 0.906
0.888 0.904 0.798 0.807 0.764
0.808 0.888 0.888 0.904 0.894
0.797 0.802 0.866 0.882 0.869
0.863 0.820 0.846 0.890 0.819
0.873 0.819 0.801 0.887 0.871
0.824 0.893 0.810 0.905 0.899
0.860 0.842 0.833 0.893 0.889
0.884 0.828 0.892 0.810 0.793
0.848 0.901 0.902 0.889 0.905
0.839 0.817 0.880 0.905 0.843
0.870 0.858 0.852 0.826 0.860
0.816 0.857 0.901 0.823 0.867
0.789 0.834 0.899 0.909 0.904
0.919 0.792 0.900 0.910 0.890
0.896 0.857 0.919 0.852 0.771
0.797 0.825 0.842 0.832 0.787
0.898 0.909 0.784 0.900 0.900
0.896 0.790 0.912 0.758 0.884
0.905 0.771 0.807 0.903 0.767
0.891 0.767 0.768 0.894 0.767
0.806 0.771 0.906 0.897 0.927
0.897 0.806 0.808 0.772 0.794
0.907 0.902 0.837 0.813 0.831
0.840 0.885 0.860 0.801 0.886
0.827 0.885 0.904 0.811 0.832
0.882 0.799 0.894 0.769 0.788
0.847 0.865 0.873 0.798 0.805
0.812 0.877 0.802 0.896 0.909
0.857 0.777 0.777 0.802 0.769
0.867 0.888 0.817 0.767 0.865
0.830 0.846 0.852 0.878 0.843
0.888 0.849 0.782 0.882 0.834
