0.615 0.628 0.623 0.774 0.787
0.613 0.609 0.806 0.605 0.581
0.792 0.761 0.778 0.728 0.787
0.789 0.791 0.643 0.738 0.771
0.760 0.629 0.756 0.618 0.615
0.758 0.767 0.630 0.709 0.777
0.744 0.774 0.771 0.787 0.634
0.777 0.724 0.745 0.599 0.613
0.774 0.754 0.602 0.754 0.744
0.758 0.787 0.678 0.763 0.617
0.741 0.644 0.612 0.608 0.594
0.625 0.592 0.742 0.740 0.745
0.611 0.669 0.739 0.735 0.601
0.626 0.754 0.727 0.743 0.612
0.727 0.621 0.657 0.608 0.646
0.597 0.755 0.595 0.587 0.736
0.656 0.700 0.631 0.625 0.625
0.745 0.742 0.769 0.742 0.627
0.775 0.602 0.674 0.613 0.613
0.763 0.618 0.728 0.673 0.473
0.796 0.787 0.792 0.626 0.614
0.800 0.827 0.590 0.810 0.769
0.612 0.622 0.624 0.656 0.616
0.611 0.610 0.749 0.648 0.626
0.631 0.803 0.631 0.818 0.819
0.635 0.626 0.779 0.656 0.624
0.642 0.624 0.628 0.619 0.777
0.623 0.661 0.641 0.812 0.799
0.625 0.641 0.810 0.639 0.645
0.636 0.617 0.711 0.632 0.797
0.650 0.781 0.800 0.806 0.807
0.787 0.808 0.649 0.646 0.651
0.798 0.751 0.655 0.635 0.807
0.786 0.631 0.646 0.640 0.800
0.675 0.776 0.751 0.804 0.749
0.769 0.633 0.764 0.774 0.648
0.750 0.639 0.794 0.787 0.789
0.641 0.638 0.630 0.666 0.800
0.615 0.797 0.739 0.811 0.789
0.631 0.809 0.653 0.728 0.644
