0_000 001,96.3,0.75,0.22
0_U10-008 002,94.44,0.75,0.22
0_U10-008 003,94.44,0.75,0.22
0_U10-008 001,94.44,0.75,0.25
0_081 001,94.44,0.75,0.24
0_U10-008 004,93.83,0.74,0.22
0_U10-001 001,93.83,0.74,0.24
0_U10-001 003,93.83,0.74,0.24
0_U10-007 001,93.83,0.75,0.23
0_008 001,93.83,0.74,0.23
0_088 001,93.83,0.74,0.23
0_183 002,93.83,0.73,0.23
0_183 001,93.83,0.74,0.26
0_U10-009 001,93.83,0.74,0.26
0_029 001,93.83,0.75,0.22
0_002 001,93.21,0.77,0.24
0_008 002,93.21,0.75,0.24
0_U10-004 001,93.21,0.74,0.25
0_U10-008 005,92.59,0.75,0.25
0_U10-001 002,92.59,0.74,0.25
0_002 002,92.59,0.77,0.25
0_001 001,92.59,0.75,0.25
0_U10-007 002,92.59,0.75,0.23
0_U10-007 003,92.59,0.74,0.23
0_008 003,92.59,0.75,0.22
0_203 001,92.59,0.73,0.27
0_U10-004 003,92.59,0.74,0.24
0_099 001,92.59,0.75,0.26
0_U10-009 002,92.59,0.75,0.25
0_U10-009 003,92.59,0.74,0.24
0_179 001,91.98,0.75,0.25
0_U10-003 001,91.98,0.74,0.22
0_001 003,91.98,0.75,0.24
0_001 002,91.98,0.74,0.23
0_U10-004 002,91.98,0.75,0.27
0_U10-004 005,91.36,0.74,0.22
0_087 001,91.36,0.76,0.23
0_052 001,90.74,0.73,0.23
0_001 004,90.74,0.76,0.27
0_008 004,90.74,0.74,0.25
0_182 001,90.74,0.74,0.25
0_U10-007 004,90.12,0.74,0.23
0_U10-002 001,90.12,0.75,0.23
0_023 001,90.12,0.75,0.23
0_023 002,89.51,0.74,0.23
0_031 001,88.89,0.52,0.31
0_001 005,88.89,0.75,0.25
0_U10-004 004,88.89,0.75,0.23
0_061 001,88.27,0.75,0.24
0_007 001,88.27,0.51,0.22
0_098 001,88.27,0.74,0.23
0_182 002,87.65,0.75,0.24
0_U10-007 005,87.04,0.75,0.24
0_061 002,86.42,0.76,0.27
0_089 001,86.42,0.38,0.5
0_089 002,86.42,0.38,0.49
0_028 001,85.8,0.74,0.24
0_098 002,85.8,0.75,0.24
0_089 004,85.19,0.38,0.49
0_089 003,85.19,0.38,0.51
0_031 002,84.57,0.38,0.41
0_031 003,84.57,0.38,0.4
0_000 002,84.57,0.75,0.25
0_087 002,84.57,0.77,0.24
0_089 005,84.57,0.37,0.51
0_047 001,83.95,0.38,0.47
0_031 004,83.33,0.38,0.4
0_U10-003 002,83.33,0.39,0.39
0_028 003,83.33,0.76,0.22
0_028 002,83.33,0.75,0.24
0_U10-003 003,82.72,0.38,0.38
0_002 003,82.72,0.77,0.23
0_044 001,82.72,0.75,0.24
0_028 004,82.72,0.75,0.26
0_203 002,82.72,0.76,0.25
0_179 002,82.1,0.75,0.25
0_052 002,82.1,0.74,0.23
0_105 001,82.1,0.76,0.24
0_013 001,81.48,0.77,0.23
0_098 003,81.48,0.74,0.22
0_011 001,80.86,0.73,0.25
0_040 001,80.25,0.75,0.22
0_023 003,80.25,0.74,0.24
0_046 001,80.25,0.73,0.24
0_183 003,78.4,0.75,0.24
0_046 002,78.4,0.75,0.23
0_057 001,78.4,0.22,0.72
0_067 001,77.78,0.24,0.68
0_182 003,77.78,0.75,0.25
0_047 002,77.78,0.38,0.35
0_052 003,77.16,0.74,0.24
0_U10-002 002,77.16,0.39,0.4
0_146 001,77.16,0.37,0.51
0_002 004,76.54,0.77,0.23
0_008 005,76.54,0.75,0.24
0_020 001,76.54,0.76,0.23
0_057 002,76.54,0.22,0.7
0_179 003,75.93,0.76,0.24
0_221 001,75.93,0.21,0.73
0_000 003,75.31,0.75,0.25
0_028 005,75.31,0.76,0.26
0_032 001,74.69,0.75,0.23
0_047 003,74.07,0.37,0.44
0_023 004,74.07,0.75,0.22
0_057 003,74.07,0.19,0.68
0_057 004,74.07,0.2,0.76
0_163 002,73.46,0.24,0.54
0_163 001,73.46,0.22,0.69
0_163 003,73.46,0.22,0.52
0_014 001,72.84,0.21,0.74
0_056 002,72.84,0.73,0.24
0_153 001,72.84,0.75,0.23
0_054 002,72.84,0.2,0.73
0_054 001,72.84,0.24,0.72
0_057 005,72.84,0.19,0.74
0_U10-006 001,71.6,0.38,0.37
0_088 002,71.6,0.38,0.49
0_U100-005 001,71.6,0.24,0.78
0_000 004,70.99,0.23,0.79
0_U100-005 002,70.99,0.22,0.79
0_156 001,70.37,0.75,0.24
0_012 001,70.37,0.74,0.24
0_023 005,70.37,0.75,0.24
0_006 001,70.37,0.76,0.25
0_094 001,70.37,0.19,0.61
0_146 002,70.37,0.38,0.5
0_093 001,69.14,0.73,0.25
0_071 001,69.14,0.24,0.66
0_094 003,69.14,0.19,0.65
0_146 003,69.14,0.38,0.49
0_013 002,68.52,0.73,0.29
0_U100-007 002,68.52,0.2,0.77
0_U100-007 001,68.52,0.41,0.52
0_094 002,68.52,0.16,0.67
0_177 001,68.52,0.25,0.56
0_U100-006 001,67.9,0.4,0.5
0_022 002,67.9,0.33,0.5
0_U10-000 004,67.9,0.21,0.75
0_153 003,67.9,0.73,0.24
0_153 002,67.9,0.73,0.25
0_U10-006 002,66.67,0.38,0.36
0_067 002,66.67,0.38,0.53
0_U100-002 001,66.67,0.2,0.77
0_047 004,66.67,0.38,0.35
0_U100-008 001,66.67,0.18,0.79
0_U100-000 001,66.05,0.41,0.47
0_006 002,66.05,0.76,0.23
0_094 004,66.05,0.19,0.64
0_138 001,65.43,0.74,0.25
0_011 002,65.43,0.73,0.25
0_117 001,65.43,0.37,0.5
0_082 002,65.43,0.2,0.64
0_044 002,65.43,0.21,0.43
0_009 002,65.43,0.38,0.5
0_048 001,65.43,0.4,0.51
0_U100-009 001,64.81,0.4,0.49
0_U10-005 001,64.81,0.38,0.31
0_054 004,64.81,0.24,0.75
0_203 003,64.81,0.37,0.44
0_088 003,64.81,0.38,0.47
0_U100-006 003,64.2,0.41,0.55
0_U100-005 003,64.2,0.4,0.53
0_006 003,64.2,0.75,0.24
0_U100-009 003,63.58,0.38,0.53
0_007 002,63.58,0.42,0.51
0_U100-008 002,63.58,0.33,0.58
0_146 004,63.58,0.38,0.5
0_138 002,62.96,0.73,0.25
0_119 001,62.96,0.28,0.42
0_022 001,62.35,0.38,0.46
0_013 003,62.35,0.37,0.49
0_009 001,62.35,0.4,0.53
0_U100-001 001,61.73,0.4,0.52
0_U10-002 005,61.73,0.38,0.49
0_U10-006 003,61.11,0.38,0.4
0_U100-001 003,61.11,0.37,0.55
0_U100-007 004,61.11,0.39,0.56
0_081 002,61.11,0.38,0.56
0_U100-006 002,60.49,0.39,0.44
0_U100-006 004,60.49,0.51,0.31
0_U10-001 004,60.49,0.38,0.38
0_002 005,60.49,0.72,0.3
0_056 001,60.49,0.74,0.22
0_U10-005 002,60.49,0.39,0.42
0_U10-005 004,60.49,0.39,0.3
0_U100-003 001,60.49,0.42,0.52
0_U100-003 004,60.49,0.4,0.45
0_U100-003 005,60.49,0.42,0.56
0_U100-003 002,60.49,0.41,0.45
0_U100-003 003,60.49,0.58,0.34
0_U10-002 003,60.49,0.41,0.4
0_U100-004 002,60.49,0.71,0.26
0_U100-004 005,60.49,0.4,0.41
0_U100-004 003,60.49,0.4,0.49
0_U10-000 001,59.88,0.39,0.39
0_U10-005 003,59.88,0.38,0.35
0_049 003,59.88,0.42,0.36
0_049 001,59.88,0.42,0.39
0_049 002,59.88,0.41,0.36
0_U10-002 004,59.88,0.4,0.39
0_U100-004 001,59.88,0.38,0.41
0_081 003,59.88,0.54,0.35
0_U10-006 004,59.26,0.37,0.39
0_U10-006 005,59.26,0.37,0.38
0_U100-006 005,59.26,0.41,0.48
0_174 001,59.26,0.25,0.54
0_U100-001 005,59.26,0.4,0.5
0_067 003,59.26,0.38,0.53
0_022 003,59.26,0.75,0.26
0_U10-003 004,59.26,0.39,0.4
0_013 004,59.26,0.74,0.26
0_U10-000 002,59.26,0.38,0.39
0_U100-009 004,59.26,0.4,0.5
0_049 004,59.26,0.44,0.41
0_U100-000 005,59.26,0.57,0.25
0_007 003,59.26,0.64,0.28
0_048 003,59.26,0.42,0.52
0_048 002,59.26,0.41,0.49
0_072 002,59.26,0.21,0.28
0_006 004,59.26,0.75,0.26
0_003 002,59.26,0.41,0.53
0_U100-001 002,58.64,0.4,0.5
0_082 001,58.64,0.31,0.47
0_U10-000 005,58.64,0.38,0.38
0_038 001,58.64,0.42,0.44
0_048 004,58.64,0.4,0.49
0_012 004,58.64,0.57,0.3
0_U100-004 004,58.64,0.4,0.43
0_003 001,58.64,0.38,0.48
0_081 005,58.64,0.4,0.39
0_071 003,58.64,0.22,0.71
