0.559 0.583 0.590 0.550 0.574 0.580 0.609 0.579 0.561 0.569 0.539 0.548 0.532 0.456 0.458 0.286 0.307 0.318 0.299 0.288 0.329 0.289 0.304 0.303 0.255
0.468 0.461 0.474 0.467 0.452 0.441 0.488 0.449 0.439 0.452 0.402 0.437 0.420 0.349 0.339 0.241 0.238 0.240 0.262 0.261 0.219 0.286 0.251 0.222 0.222
0.590 0.763 0.760 0.746 0.685 0.637 0.757 0.627 0.583 0.685 0.654 0.711 0.750 0.565 0.615 0.344 0.529 0.510 0.305 0.326 0.317 0.331 0.343 0.303 0.332
0.495 0.588 0.583 0.569 0.560 0.463 0.562 0.478 0.502 0.509 0.468 0.482 0.522 0.397 0.459 0.279 0.370 0.414 0.219 0.307 0.240 0.270 0.296 0.245 0.284
0.634 0.635 0.788 0.785 0.799 0.768 0.751 0.766 0.814 0.800 0.821 0.624 0.736 0.779 0.815 0.805 0.835 0.761 0.732 0.763 0.795 0.605 0.565 0.629 0.632
0.569 0.571 0.566 0.574 0.594 0.568 0.582 0.570 0.577 0.551 0.581 0.479 0.565 0.565 0.569 0.579 0.563 0.573 0.560 0.554 0.574 0.496 0.491 0.493 0.464
0.642 0.638 0.637 0.641 0.637 0.643 0.638 0.646 0.649 0.668 0.828 0.795 0.656 0.825 0.748 0.771 0.748 0.830 0.828 0.829 0.818 0.778 0.740 0.756 0.736
0.570 0.572 0.572 0.576 0.565 0.585 0.571 0.554 0.580 0.564 0.572 0.567 0.564 0.569 0.571 0.570 0.565 0.571 0.578 0.567 0.571 0.559 0.570 0.564 0.565
0.639 0.643 0.647 0.644 0.640 0.637 0.647 0.644 0.640 0.639 0.639 0.644 0.643 0.647 0.648 0.796 0.669 0.804 0.808 0.794 0.799 0.747 0.744 0.735 0.798
0.581 0.580 0.578 0.566 0.604 0.573 0.567 0.566 0.574 0.575 0.566 0.573 0.568 0.571 0.582 0.568 0.569 0.564 0.561 0.567 0.564 0.573 0.574 0.576 0.568
0.641 0.644 0.639 0.639 0.646 0.642 0.640 0.642 0.653 0.639 0.651 0.638 0.648 0.652 0.637 0.641 0.647 0.651 0.648 0.656 0.645 0.747 0.705 0.758 0.649
0.572 0.566 0.569 0.573 0.571 0.571 0.567 0.582 0.564 0.586 0.611 0.576 0.585 0.572 0.567 0.577 0.563 0.575 0.558 0.557 0.582 0.574 0.557 0.572 0.566
0.647 0.640 0.636 0.640 0.641 0.640 0.650 0.700 0.892 0.684 0.650 0.816 0.643 0.846 0.749 0.818 0.729 0.707 0.736 0.657 0.743 0.730 0.748 0.727 0.793
0.568 0.601 0.595 0.584 0.598 0.659 0.563 0.572 0.567 0.561 0.568 0.574 0.575 0.568 0.567 0.568 0.564 0.566 0.562 0.567 0.565 0.575 0.565 0.570 0.568
