0.220 0.300 0.540 0.240 0.280 0.230 0.360 0.710 0.330 0.710 0.700 0.540 0.440 0.210 0.660 0.270 0.280 0.260 0.220 0.250 0.690 0.240 0.230 0.230 0.270
0.330 0.240 0.340 0.310 0.280 0.370 0.320 0.240 0.300 0.230 0.230 0.220 0.220 0.180 0.190 0.200 0.270 0.220 0.290 0.280 0.190 0.270 0.330 0.300 0.200
0.430 0.400 0.400 0.410 0.540 0.350 0.390 0.500 0.330 0.480 0.440 0.470 0.460 0.230 0.360 0.280 0.390 0.660 0.460 0.360 0.550 0.460 0.520 0.250 0.260
0.406 0.340 0.375 0.372 0.374 0.328 0.454 0.341 0.417 0.371 0.358 0.336 0.342 0.469 0.385 0.482 0.393 0.208 0.412 0.316 0.343 0.345 0.168 0.442 0.271
0.240 0.250 0.440 0.430 0.480 0.440 0.400 0.350 0.530 0.540 0.540 0.410 0.320 0.420 0.480 0.530 0.540 0.410 0.490 0.460 0.520 0.470 0.450 0.390 0.510
0.743 0.742 0.379 0.343 0.347 0.392 0.381 0.393 0.340 0.326 0.320 0.380 0.401 0.432 0.351 0.354 0.311 0.341 0.396 0.367 0.322 0.451 0.410 0.388 0.372
0.220 0.250 0.250 0.270 0.220 0.250 0.250 0.270 0.260 0.250 0.560 0.480 0.240 0.520 0.380 0.390 0.370 0.540 0.530 0.530 0.520 0.430 0.330 0.340 0.440
0.750 0.750 0.740 0.750 0.760 0.750 0.750 0.750 0.740 0.730 0.410 0.380 0.730 0.420 0.500 0.420 0.410 0.400 0.380 0.430 0.390 0.420 0.440 0.410 0.380
0.220 0.250 0.250 0.250 0.250 0.220 0.240 0.230 0.220 0.220 0.250 0.250 0.250 0.250 0.250 0.490 0.270 0.500 0.510 0.490 0.480 0.350 0.360 0.360 0.530
0.747 0.748 0.746 0.748 0.749 0.744 0.750 0.751 0.754 0.754 0.758 0.755 0.765 0.760 0.749 0.368 0.742 0.373 0.383 0.377 0.395 0.429 0.431 0.437 0.413
0.230 0.250 0.240 0.230 0.230 0.230 0.240 0.250 0.270 0.250 0.220 0.250 0.230 0.250 0.230 0.220 0.250 0.260 0.260 0.220 0.260 0.320 0.240 0.350 0.250
0.743 0.748 0.743 0.747 0.750 0.750 0.749 0.753 0.751 0.750 0.756 0.751 0.752 0.754 0.751 0.751 0.761 0.753 0.742 0.734 0.754 0.466 0.755 0.375 0.754
0.250 0.250 0.250 0.210 0.250 0.230 0.250 0.260 0.770 0.230 0.240 0.510 0.250 0.680 0.380 0.520 0.350 0.220 0.320 0.220 0.360 0.370 0.400 0.320 0.450
0.750 0.750 0.740 0.750 0.750 0.750 0.750 0.740 0.210 0.740 0.770 0.410 0.760 0.250 0.480 0.380 0.540 0.710 0.520 0.780 0.470 0.490 0.520 0.500 0.420
